"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","tissue","lo_ci","up_ci","or","or_lci95","or_uci95"
"1","0VIWnb","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","LACTB","Wald ratio",1,0.107710201,0.02072334,2.02e-07,"Adult Cortex",0.0670924546,0.1483279474,1.11372494224018,1.06939434403055,1.15989321796193
"2","2ZJa6P","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","PVR","Wald ratio",1,-0.167431907,0.035198753,1.97e-06,"Adult Cortex",-0.23642146288,-0.09844235112,0.845834210716878,0.789447880830295,0.906247935286862
"3","3IxE4L","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CEACAM19","Wald ratio",1,0.201518252,0.023396611,7.11e-18,"Adult Cortex",0.15566089444,0.24737560956,1.22325856377436,1.1684299148213,1.28066005060831
"4","7mAc76","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","RITA1","Wald ratio",1,-0.148193426,0.032261209,4.36e-06,"Adult Cortex",-0.21142539564,-0.08496145636,0.8622643144735,0.809429665782397,0.918547687890568
"5","7ZUOgK","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CR1","Wald ratio",1,0.194553807,0.016264949,5.65e-33,"Adult Cortex",0.16267450696,0.22643310704,1.21476884419378,1.17665363478238,1.2541187153149
"6","aokP2C","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ACE","Wald ratio",1,-0.217484291,0.027104867,1.03e-15,"Adult Cortex",-0.27060983032,-0.16435875168,0.804540243343242,0.762914104294443,0.848437588865164
"7","AOqBRF","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ATP8B3","Wald ratio",1,0.105878088,0.020369332,2.02e-07,"Adult Cortex",0.06595419728,0.14580197872,1.11168634033983,1.06817779059726,1.15696706126717
"8","b2eLeg","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","BTNL2","Wald ratio",1,0.084273212,0.018165863,3.5e-06,"Adult Cortex",0.04866812052,0.11987830348,1.08792608767078,1.04987186198747,1.12735964748503
"9","bGyvOH","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ZSCAN31","Wald ratio",1,0.045729659,0.009394955,1.13e-06,"Adult Cortex",0.0273155472,0.0641437708,1.04679138207248,1.02769203694993,1.06624568273716
"10","BVvhhn","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CTB-171A8.1","Wald ratio",1,0.078050141,0.010271884,3e-14,"Adult Cortex",0.05791724836,0.09818303364,1.08117686860037,1.05962730618474,1.10316468287833
