"","X","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","tissue","lo_ci","up_ci","or","or_lci95","or_uci95","exposure_tissue"
"1",1,"0CszZJ","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ASPHD1","Wald ratio",1,0.24699110352574,0.0397122950766876,4.98702863570271e-10,"Fetal Cortex",0.169155005175432,0.324827201876048,1.28016772374841,1.18430369789976,1.38379150874346,"ASPHD1-Fetal Cortex"
"2",2,"0kRmlC","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CELF1","Wald ratio",1,-0.197529036768405,0.0296472152835038,2.68932499084457e-11,"Fetal Cortex",-0.255637578724072,-0.139420494812738,0.82075630817088,0.774422585159927,0.869862179010674,"CELF1-Fetal Cortex"
"3",3,"2nzhuB","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ASXL3","Wald ratio",1,0.46150460114653,0.101163146265815,5.06726372167063e-06,"Fetal Cortex",0.263224834465533,0.659784367827527,1.58645917846093,1.30111922251304,1.93437517590569,"ASXL3-Fetal Cortex"
"4",4,"8Ri9rF","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CTD-2574D22.2","Wald ratio",1,0.106942552462697,0.0215992347338453,7.37498578572523e-07,"Fetal Cortex",0.0646080523843602,0.149277052541034,1.11287032098365,1.06674083590842,1.1609946011597,"CTD-2574D22.2-Fetal Cortex"
"5",5,"9EoD7C","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","KAT8","Wald ratio",1,-0.104995430710214,0.0222717580294394,2.42560114265344e-06,"Fetal Cortex",-0.148648076447915,-0.0613427849725128,0.900328636439309,0.861872374721247,0.940500794975397,"KAT8-Fetal Cortex"
"6",6,"a0EtSs","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","B4GALT3","Wald ratio",1,-0.201354867154587,0.0435874065369929,3.8454499768819e-06,"Fetal Cortex",-0.286786183967093,-0.115923550342081,0.817622232790623,0.750672217434484,0.890543302425959,"B4GALT3-Fetal Cortex"
"7",7,"AHyu0F","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","RP11-259G18.1","Wald ratio",1,-0.0362564061458045,0.00701284451562949,2.34093994745263e-07,"Fetal Cortex",-0.0500015813964383,-0.0225112308951707,0.964392985490383,0.951227920231079,0.977740256233352,"RP11-259G18.1-Fetal Cortex"
"8",8,"bBYEg3","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","BIN1","Wald ratio",1,-0.116520920432289,0.0188438877256966,6.2701202046375e-10,"Fetal Cortex",-0.153454940374654,-0.0795869004899237,0.890011477357064,0.857739412744659,0.923497764073377,"BIN1-Fetal Cortex"
"9",9,"bMEN6D","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ZKSCAN1","Wald ratio",1,-0.18600694403419,0.0307198401217991,1.40465601077125e-09,"Fetal Cortex",-0.246217830672916,-0.125796057395464,0.83026782955372,0.78175191683089,0.881794663947034,"ZKSCAN1-Fetal Cortex"
"10",10,"BOtzQA","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","DDX54","Wald ratio",1,-0.301920742088612,0.0643095356592617,2.66860913378877e-06,"Fetal Cortex",-0.427967431980765,-0.175874052196459,0.739396665602619,0.651832643351111,0.8387236120818,"DDX54-Fetal Cortex"
