id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval
0VIWnb,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,LACTB,Wald ratio,1,0.107710201,0.02072334,2.02E-07
2ZJa6P,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,PVR,Wald ratio,1,-0.167431907,0.035198753,1.97E-06
3IxE4L,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CEACAM19,Wald ratio,1,0.201518252,0.023396611,7.11E-18
7mAc76,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RITA1,Wald ratio,1,-0.148193426,0.032261209,4.36E-06
7ZUOgK,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CR1,Wald ratio,1,0.194553807,0.016264949,5.65E-33
aokP2C,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ACE,Wald ratio,1,-0.217484291,0.027104867,1.03E-15
AOqBRF,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ATP8B3,Wald ratio,1,0.105878088,0.020369332,2.02E-07
b2eLeg,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,BTNL2,Wald ratio,1,0.084273212,0.018165863,3.50E-06
bGyvOH,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ZSCAN31,Wald ratio,1,0.045729659,0.009394955,1.13E-06
BVvhhn,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CTB-171A8.1,Wald ratio,1,0.078050141,0.010271884,3.00E-14
c1hrru,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,STAG3,Wald ratio,1,-0.11916903,0.019307874,6.74E-10
G6AGuw,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-196G11.2,Wald ratio,1,-0.118159655,0.025952379,5.29E-06
GwgGyF,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ZNF603P,Wald ratio,1,0.034514048,0.007589477,5.43E-06
jgqYPo,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,EARS2,Wald ratio,1,-0.07784597,0.016580911,2.67E-06
jQHu2U,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,SIGLEC11,Wald ratio,1,0.095525831,0.021090118,5.91E-06
jsRzd0,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,AC012146.7,Wald ratio,1,-0.13326277,0.022125364,1.71E-09
k3321j,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,EGFR,Wald ratio,1,0.179379141,0.03003855,2.35E-09
L0yCqS,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,LINC02210,Wald ratio,1,-0.087421161,0.015924301,4.02E-08
OkBk8U,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,EPHX2,Wald ratio,1,0.239793802,0.044376103,6.53E-08
Q09F41,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,INO80E,Wald ratio,1,0.139109024,0.025772431,6.75E-08
slMtXu,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ZSCAN26,Wald ratio,1,-0.096608371,0.018086499,9.22E-08
uLAXa4,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ZNF192P2,Wald ratio,1,-0.062213404,0.013172736,2.33E-06
usbO7j,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,NDUFAF6,Wald ratio,1,0.160753433,0.029260737,3.93E-08
ve8CvL,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ZNF45,Wald ratio,1,-0.102151185,0.022872235,7.96E-06
vtaHEE,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ICA1L,Wald ratio,1,0.230906646,0.045498847,3.87E-07
warJ3Q,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,STX4,Wald ratio,1,0.186657689,0.040997167,5.29E-06
yjUadr,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,KAT8,Wald ratio,1,-0.08586402,0.01821358,2.43E-06
YQmxQZ,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,HLA-DRB1,Wald ratio,1,0.082053162,0.018040057,5.41E-06
zyCR3o,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,GALNT6,Wald ratio,1,-0.091977145,0.020733457,9.16E-06
