id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval
gt8qPZ,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,KNOP1,Inverse variance weighted,2,-0.045187441,0.010593426,1.99E-05
3Q8MEF,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-707O23.1,Wald ratio,1,-0.053866773,0.009205658,4.87E-09
5UdzFf,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,FAM117B,Wald ratio,1,0.198343169,0.040600447,1.03E-06
6fmh2O,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CTB-171A8.1,Wald ratio,1,0.084061423,0.011063006,3.00E-14
7b2cIS,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,MAPK8IP1P2,Wald ratio,1,-0.045726116,0.008471001,6.74E-08
A2YnK9,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,PRSS53,Wald ratio,1,0.260334721,0.056739619,4.47E-06
A3VD94,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,AC012146.7,Wald ratio,1,-0.10458514,0.01756598,2.62E-09
A6k2TO,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CEACAM19,Wald ratio,1,0.133140145,0.025800467,2.46E-07
abbCSb,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CSTF1,Wald ratio,1,0.279494659,0.058526659,1.79E-06
aRqKf6,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,IGHGP,Wald ratio,1,-0.177901459,0.036885991,1.41E-06
DMoo1C,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,NBEAL1,Wald ratio,1,0.083402072,0.016515262,4.42E-07
esv9D3,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,AC092066.1,Wald ratio,1,0.325722034,0.05045018,1.07E-10
