id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval
h8QQy2,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,HLA-DRB6,Inverse variance weighted,2,-0.049021795,0.010320817,2.04E-06
0e1CdV,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,FAM213A,Wald ratio,1,0.132713409,0.029371,6.23E-06
1PCKMA,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,MS4A6A,Wald ratio,1,0.513514209,0.062106438,1.36E-16
1SnwV6,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-196G11.4,Wald ratio,1,-0.321545471,0.068206615,2.43E-06
1WnO3K,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,LAMTOR4,Wald ratio,1,0.495604202,0.104393225,2.06E-06
2yN3kI,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,C17orf107,Wald ratio,1,0.125879482,0.024682251,3.40E-07
370O2M,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,LACTB,Wald ratio,1,0.2934529,0.056060578,1.65E-07
4cr4Nh,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-259G18.3,Wald ratio,1,-0.043409869,0.007920942,4.24E-08
4p1aXR,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,EPHA1-AS1,Wald ratio,1,-0.071898476,0.008793339,2.92E-16
6P2pyD,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CNPY4,Wald ratio,1,-0.353989189,0.057453743,7.22E-10
793ybp,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,WNT3,Wald ratio,1,-0.237094889,0.04045031,4.59E-09
7WLk6Y,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,SLC24A4,Wald ratio,1,-0.227039481,0.037012401,8.56E-10
8bQFjD,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-333E1.1,Wald ratio,1,0.250091424,0.035769231,2.71E-12
9MVNSv,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,APH1B,Wald ratio,1,0.902438709,0.095035581,2.19E-21
a2up29,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ARL17A,Wald ratio,1,-0.186756447,0.034597603,6.74E-08
bVG7Qo,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ZSCAN26,Wald ratio,1,-0.282445289,0.052998887,9.86E-08
C3aLKb,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,OARD1,Wald ratio,1,-0.284038536,0.061851943,4.39E-06
CAlcnv,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,NME8,Wald ratio,1,0.14842282,0.032545727,5.10E-06
Cl9nJW,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,INO80E,Wald ratio,1,0.25906081,0.043264738,2.13E-09
cXeUev,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,MAPK8IP1P2,Wald ratio,1,-0.043553434,0.008053277,6.37E-08
dk5njq,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,KANSL1-AS1,Wald ratio,1,-0.043184346,0.008023321,7.35E-08
ds1Z6t,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ZNF668,Wald ratio,1,0.126400253,0.027320888,3.72E-06
eNBtRt,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,MAPK8IP1P1,Wald ratio,1,-0.049655678,0.008847739,2.00E-08
eV0d15,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,IGHG1,Wald ratio,1,0.56165507,0.113400833,7.31E-07
fUHiAH,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,IQCD,Wald ratio,1,0.143053609,0.031140922,4.35E-06
Gb8FTU,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CEACAM19,Wald ratio,1,0.286695597,0.033285845,7.11E-18
h1YC4V,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-196G11.5,Wald ratio,1,0.427129397,0.072258733,3.40E-09
hBHpXS,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-455F5.3,Wald ratio,1,-0.223877267,0.041069208,5.00E-08
hGglxQ,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,LRRC37A4P,Wald ratio,1,0.044524097,0.008263942,7.13E-08
HkShKM,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CASS4,Wald ratio,1,0.466301496,0.058238165,1.18E-15
IjJ0uB,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RITA1,Wald ratio,1,-0.213769141,0.046667911,4.64E-06
iS9xGl,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,VKORC1,Wald ratio,1,0.336710042,0.071423342,2.43E-06
j6kD3u,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,BIN1,Wald ratio,1,0.384295121,0.038662418,2.80E-23
Jf1HLQ,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,FCER1G,Wald ratio,1,-0.290342386,0.050685957,1.01E-08
JOukDh,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,PLD2,Wald ratio,1,0.090090247,0.018683039,1.42E-06
K8SPEx,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-137H2.4,Wald ratio,1,-0.064866318,0.014325316,5.95E-06
lN1wi7,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,HLA-E,Wald ratio,1,0.516557123,0.110964123,3.24E-06
lQqdYd,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,PLEKHM1,Wald ratio,1,0.789918905,0.14126287,2.25E-08
Luf9Zg,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,OTULIN,Wald ratio,1,0.184112571,0.036460177,4.43E-07
MB2tkv,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,SLC26A1,Wald ratio,1,-0.087424238,0.018258133,1.68E-06
mmaWSk,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CHRNE,Wald ratio,1,0.087732567,0.017202464,3.40E-07
N2gP70,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,AC012146.7,Wald ratio,1,-0.203478096,0.034087825,2.38E-09
NRoA9h,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CTSH,Wald ratio,1,0.097692067,0.020944935,3.10E-06
odkQWy,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,KAT8,Wald ratio,1,-0.622267655,0.106240819,4.71E-09
