id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval
1cYFJ5,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,TAP2,Wald ratio,1,0.259678922,0.043623311,2.64E-09
1n8IJ6,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,SLC26A1,Wald ratio,1,-0.043926241,0.00895379,9.30E-07
1vCgpa,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,STX1B,Wald ratio,1,-0.125499433,0.027888763,6.80E-06
2HBKoP,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,LINC02210,Wald ratio,1,-0.041957893,0.007671406,4.52E-08
3DXuSy,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CTB-171A8.1,Wald ratio,1,0.079714882,0.011139995,8.32E-13
59EOss,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,YPEL3,Wald ratio,1,-0.148450239,0.027232482,5.00E-08
6acIkP,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-259G18.1,Wald ratio,1,-0.105674989,0.019763643,8.95E-08
7a0yUM,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,LACTB,Wald ratio,1,0.124928235,0.024924855,5.38E-07
8jRI0E,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CHRNE,Wald ratio,1,0.069340145,0.013512944,2.88E-07
Bm1hFj,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-259G18.3,Wald ratio,1,-0.043143742,0.008019283,7.45E-08
C9B0Ao,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,NKAPL,Wald ratio,1,0.120150484,0.025636222,2.78E-06
ckxV6g,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,C17orf107,Wald ratio,1,0.097472043,0.019186307,3.77E-07
fv6Aif,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,LRRC37A4P,Wald ratio,1,0.042808023,0.008021389,9.46E-08
GeiHqg,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-707O23.1,Wald ratio,1,-0.048262592,0.008940896,6.74E-08
gI2lCc,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,NBEAL1,Wald ratio,1,0.105607183,0.021085998,5.49E-07
gNdtUd,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,EARS2,Wald ratio,1,0.135340342,0.030307876,7.99E-06
HY7psW,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,KANSL1-AS1,Wald ratio,1,-0.045625661,0.008129663,2.00E-08
It7EQA,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,KAT8,Wald ratio,1,-0.107811704,0.023497423,4.47E-06
lJ6vLt,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-196G11.2,Wald ratio,1,-0.101607905,0.022699638,7.60E-06
n3E7rX,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,WNT3,Wald ratio,1,-0.091877053,0.018453108,6.39E-07
Ow09E1,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,HLA-E,Wald ratio,1,0.177392644,0.037668561,2.49E-06
Ow3OIK,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,EPHX2,Wald ratio,1,0.152998841,0.028049788,4.91E-08
P0UEFu,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,IGHGP,Wald ratio,1,-0.172880658,0.035844981,1.41E-06
PbPPBF,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,LRRC37A,Wald ratio,1,-0.072812646,0.013901847,1.63E-07
PeaGyB,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CTSH,Wald ratio,1,0.107172245,0.023699879,6.12E-06
TfuEfo,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,SCIMP,Wald ratio,1,0.269592773,0.038828936,3.84E-12
UrO9RO,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,HLA-DRB9,Wald ratio,1,-0.072168272,0.016056577,6.97E-06
vACmI3,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,INO80E,Wald ratio,1,0.141272104,0.023593305,2.13E-09
vcwiGe,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,PLD2,Wald ratio,1,0.190958501,0.039601236,1.42E-06
Wa28qL,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,IRF2BP1,Wald ratio,1,0.272230561,0.047927916,1.35E-08
wqyjzQ,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,IGHV2-70,Wald ratio,1,0.131014287,0.028398361,3.96E-06
WREcu3,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,MAPK8IP1P2,Wald ratio,1,-0.045019221,0.008080373,2.53E-08
X3HhtW,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,NECTIN2,Wald ratio,1,0.458167036,0.038972209,6.56E-32
YB8Egl,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ZSCAN26,Wald ratio,1,-0.150227204,0.028189086,9.86E-08
yfHOLU,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ATP8B3,Wald ratio,1,0.123844824,0.023825858,2.02E-07
Z1oP4L,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,DND1P1,Wald ratio,1,-0.039905857,0.00776165,2.73E-07
z2ey3l,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,SNX31,Wald ratio,1,0.050831037,0.009180936,3.08E-08
zm2NhB,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ZNF165,Wald ratio,1,-0.093130605,0.020214395,4.08E-06
zvMEPB,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CEACAM19,Wald ratio,1,0.205846318,0.023077697,4.68E-19
zY3MFO,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ZNF603P,Wald ratio,1,0.039602265,0.008493509,3.12E-06
