id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval
SgKppL,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,Y_RNA,Inverse variance weighted,2,-0.056187482,0.012882245,1.29E-05
0vYqHr,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,PVR,Wald ratio,1,-0.27125146,0.057024455,1.97E-06
10fOiZ,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CTB-171A8.1,Wald ratio,1,0.068010848,0.00895065,3.00E-14
1i3P2V,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-385F7.1,Wald ratio,1,-0.184863157,0.026830219,5.57E-12
1pcd4o,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,PRSS36,Wald ratio,1,0.132461246,0.026314846,4.81E-07
3kTGlj,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ZSCAN26,Wald ratio,1,-0.254358743,0.048169554,1.29E-07
403KpL,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CHRNE,Wald ratio,1,0.060815603,0.011615531,1.64E-07
56WK3f,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,SNX22,Wald ratio,1,-0.125480413,0.026600773,2.39E-06
6hroED,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,OTULIN,Wald ratio,1,0.406037827,0.080408475,4.43E-07
6S669x,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,HLA-DRB1,Wald ratio,1,0.086717309,0.018057838,1.57E-06
73XDYu,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,PLEKHM1,Wald ratio,1,-0.178047709,0.036813045,1.32E-06
8hlqau,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,LILRB1,Wald ratio,1,-0.209179407,0.045302943,3.89E-06
A0s682,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,MAPK8IP1P1,Wald ratio,1,-0.048393542,0.008742629,3.11E-08
a1t09A,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,MAPK8IP1P2,Wald ratio,1,-0.045043246,0.008328751,6.37E-08
bfbjeg,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CTSH,Wald ratio,1,0.141965518,0.030437052,3.10E-06
cqjv64,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,KANSL1-AS1,Wald ratio,1,-0.042864666,0.007772165,3.48E-08
DDBsqN,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,PLEKHA1,Wald ratio,1,0.299614103,0.064544528,3.45E-06
DwhDVv,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-259G18.1,Wald ratio,1,-0.154204993,0.027526574,2.12E-08
DZjG1v,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,PTK2B,Wald ratio,1,0.520682195,0.068232924,2.33E-14
fr1cXX,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CELF1,Wald ratio,1,-0.362908222,0.07391037,9.10E-07
gM0Pd6,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-214N9.1,Wald ratio,1,0.183245041,0.038377735,1.80E-06
HPQ7LF,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,DOC2A,Wald ratio,1,0.450293909,0.071517268,3.05E-10
HZVtfe,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,WNT3,Wald ratio,1,-0.124926546,0.025197499,7.13E-07
i2d8yw,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,MAPT,Wald ratio,1,-0.082222055,0.016714545,8.69E-07
iAyXup,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,SLC26A1,Wald ratio,1,-0.05024258,0.010241293,9.30E-07
JA9geV,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,APOC2,Wald ratio,1,-0.161683245,0.017159778,4.42E-21
jGelNc,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,NME8,Wald ratio,1,0.122327443,0.026373348,3.51E-06
jIaYUd,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,LACTB,Wald ratio,1,0.144945465,0.027431268,1.26E-07
KReaw2,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ZNF603P,Wald ratio,1,0.055206874,0.011689211,2.33E-06
lCRey4,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,EXOC3L2,Wald ratio,1,-0.188365255,0.036536364,2.53E-07
leFHk4,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CD55,Wald ratio,1,0.332937766,0.055295608,1.73E-09
