id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval
4fRKC7,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ARHGAP27,Inverse variance weighted,2,-0.122364075,0.016942472,5.11E-13
atDC4a,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,SIRPB1,Inverse variance weighted,2,-0.03324182,0.007360559,6.30E-06
wXdMFo,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,MAPT,Inverse variance weighted,2,-0.142960421,0.034664687,3.72E-05
YH44PD,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,HLA-DRB6,Inverse variance weighted,2,-0.036037833,0.00775903,3.41E-06
ylJaZO,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,HLA-DOB,Inverse variance weighted,2,-0.049289711,0.010291173,1.67E-06
071GY8,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,B4GALT3,Wald ratio,1,-0.395259053,0.070317622,1.90E-08
1EkTRl,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-707O23.1,Wald ratio,1,-0.046651918,0.00864251,6.74E-08
1rdKti,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CLPTM1,Wald ratio,1,-0.346462025,0.071511735,1.27E-06
1UlKad,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ICA1L,Wald ratio,1,-0.155704968,0.03318756,2.71E-06
29PyHA,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,AC012146.7,Wald ratio,1,-0.090104385,0.016567992,5.37E-08
3pR5c4,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,PRSS36,Wald ratio,1,-0.262715644,0.044354589,3.16E-09
3VSYJy,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CHRNE,Wald ratio,1,0.074861164,0.014907882,5.12E-07
4jZPtO,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,MAPK8IP1P2,Wald ratio,1,-0.043502517,0.008043862,6.37E-08
5kB8Nj,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,C7orf43,Wald ratio,1,0.373562476,0.060613312,7.14E-10
5TB04j,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,TP53INP1,Wald ratio,1,0.194306666,0.040047939,1.22E-06
7l8hE0,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ZSCAN9,Wald ratio,1,-0.137158955,0.029770936,4.08E-06
7xXA0L,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,KANSL1-AS1,Wald ratio,1,-0.04195877,0.007489908,2.12E-08
8hTc2S,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,APOC2,Wald ratio,1,0.214600938,0.028379619,3.98E-14
97VI5R,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CTB-171A8.1,Wald ratio,1,0.07741781,0.010188665,3.00E-14
9yIVVW,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ADGRF2,Wald ratio,1,0.212647254,0.041001928,2.15E-07
aa1r0x,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,GAL3ST4,Wald ratio,1,0.338841616,0.065192805,2.02E-07
aLgEkz,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ZSCAN26,Wald ratio,1,-0.151334109,0.028396789,9.86E-08
B2Afge,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,HLA-DQA2,Wald ratio,1,-0.200889111,0.037005889,5.68E-08
C1pZ2x,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,STAG3,Wald ratio,1,-0.216577824,0.043819234,7.71E-07
CD2XLI,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,LRRC37A4P,Wald ratio,1,0.044267172,0.008185251,6.37E-08
